sentence,sentiment_value,word_count,index,sentiment
IPhone 5c good product on good price.,6,7,0,pos
Within one day I got the product though in site specied 3 working days.,0,14,1,pos
"Pros : Picture quality is awesome, sound with hearing ad is good, look and feel is good 
 
cons: You cannot transfer files using bluetooth from andriod/blackberry/windows to iphone, You have to use some file transfer app like shareit.",12,38,2,pos
Other is good.,3,3,3,pos
I am new to iphone so till now this is it.,0,11,4,pos
iPhone 5c + Snapdeal before time delivery = 4 stars genuine product delivered within scheduled timframe.,0,16,5,pos
Thanks snapdeal !,2,3,6,pos
It is a nice phone by Apple.,3,7,7,pos
Camera is good and phone works perfectly.,6,7,8,pos
"It is worth a Shot The OS will take around 5GB, leaving only 3 GB for your files.",1,18,9,pos
Unless you're not a heavy files user.,0,7,10,pos
Quality product from snapdeal.,0,4,11,pos
Delivery was on time.,0,4,12,pos
Lacks the feel.,-2,3,13,pos
I am very very happy with this iPhone .when I was ordering this phone I had little doubt about that.,2,20,14,pos
"But after receiving this phone I am really very happy.also found original I iPhone.earlier I had doubted goood.. fast shipping Mobile was got no hang smooth  touch  performing well Satisfied and will buy more products from Snapdeal This a great experience to have a iphone, Snapdeal delivery was above expectation !!",3,51,15,pos
"Really happy with the product and service..always the best..:) Good Product, Do not hang.",6,14,16,pos
Samsung products are pathetic.,-2,4,17,neg
Used Grand Qauttro which use to take 20-30 seconds to open even contact list.,0,14,18,pos
Apple is quality product.,0,4,19,pos
Only problem is you need to pay for everything.,-3,9,20,pos
Good product and packing was also good only issue with courier service..they took more then 10 days to deliver .,6,20,21,pos
"Awsme delivry on time and product recievd in good condition and i think its a awsme site for shoping It's cool phone, good processing with latest iOS.",7,27,22,pos
The cons are: Low memory space.,0,6,23,pos
"There is total 8 gb space, and almost 6 gb are already filled u Â read more   I bought iPhone 5C with best deal ever.",3,24,24,pos
Product is quite good and I also updated it to latest iOS version.,3,13,25,pos
Very happy with the deal..,3,5,26,pos
Very good one perfectly the original one with all original accessories It's really 100% worth to buy this product.,8,19,27,pos
I am fully satisfied with this product.,2,7,28,pos
D phone is good.,3,4,29,pos
IOS is d best OS....,3,5,30,pos
Safe also.,1,2,31,pos
D phone looks great though it consists plastic body.,3,9,32,pos
Metal body looks good bt dt nt means plastic body looks cheap plastic may also b nice in looks.,6,19,33,pos
Its camera is superb.,5,4,34,pos
Battery also.,0,2,35,pos
Dere is only one problem nd dat is space... Bt I can't say dis is d phone's problem at all.,-4,20,36,pos
I hv chosen d 8gb phone so it's my flaw.,0,10,37,pos
But in 1 word i just can say it is d best phone in dis price.,3,16,38,pos
"Thumbs up APPLE Superb model , snapdeal delivered as promised time I am really happy with product Good Price.",4,19,39,pos
Great Seller.,3,2,40,pos
Genuine Product.,0,2,41,pos
Fast Shipping.,0,2,42,pos
Recommended***** I M Happy With iphone5c and snapdeal services.,2,9,43,pos
i would recommended Snapdeal service my near & dear I am happy with my new Iphone.,7,16,44,pos
Thanks you for providing me with the product of my choice with the best deal.,5,15,45,pos
"Awesome mobile working smooth just like an apple iPhone hahahaha its cool Worth buying from snap deal due to its competitive price and good service
Thanks sd for the phone at this price Good phone lovely  fastest super Very good service by seller.",28,43,46,pos
Faster delivery and proper packing.,0,5,47,pos
Features are good....but the phone gets heated after some time It's  good Value for the money paid .,5,18,48,pos
The  Item was well packed and delivered  on time .,0,10,49,pos
Bought this for my dear wife as a surprise.,2,9,50,pos
Got delivered on time!,0,4,51,pos
very good product...thanks to snapdeal and sellers to delivered the original phone :0) Good budgeted iphone.,5,16,52,pos
Should only go for it if want to have an iphone experience but within your budget.,1,16,53,pos
Very good phone in this price category with manufacturers warranty They have sold this Iphone on interest free emi scheme.,5,20,54,pos
Even though the phone was available from other sellers at a cheaper price.,0,13,55,pos
But no interest part has been credited to my account till now.,0,12,56,pos
Snapdeal hasnt taken any action on this issue.,0,8,57,pos
Dont buy on fraudulent schemes.,-4,5,58,pos
Awesome iphone in this price range.,4,6,59,pos
i would recommend this phone Good buy at an affordable price during the sale.,5,14,60,pos
got delivered on time and satisfactory product as always iphone really nice cell Beautiful Product.,3,15,61,pos
Original Apple Product and delivery in 2nd day.,0,8,62,pos
"And iPhone is iPhone ;-) It's been close to 5 months since I bought this product and till now, I am happy with how the product has performed.",3,28,63,pos
"it is simple 
all the thing that u need it having it 
I have buy it 2 year before from snapdeal and still it is in perfect condition.",3,28,64,pos
"no lagging till today
suitable for your business need.",-3,9,65,pos
Good Mobile but its memory will be filled faster its just 8GB limit This product is awwsum in use... As by looks also..,0,23,66,pos
I would defination prefer this nxt time also This is the first iPhone that I bought.,0,16,67,pos
"After using android for 3 years, I was not satisfied with the performance.",2,13,68,neg
"So, thought of going for iPhone.",0,6,69,pos
"Though, I didnt want to go for iPhone 6S as it was very costly for me.",-1,16,70,pos
"So, decided that I will buy iPhone 5C.",0,8,71,pos
Snapdeal has provided me a very great deal as compared to other sites.,3,13,72,pos
"Also, the delivery was very prompt as well.",0,8,73,pos
"Pros: Sleek phone, looks sexy, no lags, really great headphone, got upgrade to iOS 9

Cons: Plastic body I'm also happy with Snapdeal service Good product.",10,26,74,pos
Worth buying.,2,2,75,pos
Nice phone.,3,2,76,pos
Timely delivery by snap deal Genuine product quality great..,3,9,77,pos
Overall perfect Excellent Product & Good Service by Snap Deal.,3,10,78,pos
"THE PROMPTNESS IN DELIVERY AND THE PRODUCT RECEIVED IS 

GOOD AND I AM SATISFIED Totaly satisfy with the product...",3,19,79,pos
It is a brand new 100% genuine iphone.,0,8,80,pos
And got it within 24 hours of ordering....,0,8,81,pos
Packing was superb with 'PRIORITY' mark on the box.... Thanx to snapdeal !,5,13,82,pos
The 5C was delivered in a sealed box - crisp and brand new !,0,14,83,pos
super deal.,3,2,84,pos
Marvallous Phone...Ever used....You must buy The product quality is good but the only thing is memory capacity is not sufficient for storing the data Excellent product.,3,26,85,pos
Can be recommended to my friends and family members.,2,9,86,pos
Honestly speaking initially I was hesitated because of previous reviews about snapdeal.,-2,12,87,pos
But those all reviews are fake and just to damage the reputation of snapdeal.,-6,14,88,neg
I am truely satisfied by snapdeal's service.,0,7,89,pos
100% satisfactory.,0,2,90,pos
Genuine product with honest service.,2,5,91,pos
So don't believe on rumours.,0,5,92,pos
I am going with five stars.,0,6,93,pos
Thanks snapdeal for wonderful shopping experience.,6,6,94,pos
Service quality is very good and level of interactions have been good.,6,12,95,pos
"awesum phone.good price good product.iphone is the best Recently purchase the phone and was a bit doubtfull while purchasing, but i must tell you this is the most best iphone you can get at this price.",9,36,96,pos
It was packed beatifully by the seller and same day dispatch.,0,11,97,pos
"Pros
1.",0,2,98,pos
"Very Cheap prize
2.",0,4,99,pos
IOS 9 upgrade.,0,3,100,pos
3.,0,1,101,pos
"Very smooth
4.",0,3,102,pos
"Good build quality

Cons
1.Plastic body
2.",3,7,103,pos
"8GB memory

But even plastic body looks attractive with premium and good plastuc used.",3,14,104,pos
Everyone should go with this phone if you have a budget of 20K its nice to deal with Snapdeal.,3,19,105,pos
"good shipping service at all... offer product is available, customer care also good Best phone my iPhone A mush have deal Good  i phone mobile oparating essy , inter net fast working Amazing product at this price....At first I was reluctant to buy an apple product from snapdeal but the deal made me crazy n I ordered with fingers cr Â read more  I have got ths phone in perfect condition and thank you snapdeal for perfect elivery.i guess ur are earning the trust back I got my iPhone 5c white colour in good condition and best rate 
snapdeal rate is always lowest then other sites and store also Worth in this price.",30,112,106,pos
Excellent features.,3,2,107,pos
Overall performance is Good Its an awesome phone Easy and quick returns...,7,12,108,pos
"Original products...

Good job snapdeal...keep it up!!!",3,7,109,pos
Very good product and delivered in time  as committed; true value for money The piece delivered in good conditions...,7,19,110,pos
Received a discount of 1000rs on free charge coupon.,1,9,111,pos
Delivered within 2 days before committed delivery.,1,7,112,pos
"got this at a great discount, the phone is worth it.",5,11,113,pos
"my wife wanted to try an iphone and she is loving it now Price and delivery service are good I received my order on time Good price, Great phone, very happy to own one.",16,34,114,pos
"Recommending to everyone Good , product is satisfied which I got from Snapdeal Ordered for my sister's rakhi gift 1 week prior .",6,23,115,pos
"however it came faster than that..
and thanks for getting offer from recharge site.",2,14,116,pos
great job team.,3,3,117,pos
dream come true The product supplied by Snapdeal is very good at best price.,7,14,118,pos
It is as shown I am very much happy with my product thanks to SNEPDEAL.,5,15,119,pos
Have switched from android to apple and i am pretty satisfied with iPhone 5c .,3,15,120,pos
"Excellent camera , crisp display .",3,6,121,pos
The battery  issue has been solved with the latest ios9 update .,1,12,122,pos
"good as like iphone,  apple , and snapdeal service was good Great product at such amazing price.",15,17,123,pos
Delivery was fast.,0,3,124,pos
N iPhone is amazing.,4,4,125,pos
i bought iphone 5c from snapdeal and the product is absolutly real and it wors properly .. price is also very low then the other online shoping sides ... so thnxx to snapdeal adorable phone and top class service ðŸ˜˜,5,40,126,pos
